baseline_policy_id,task_family,task_difficulty,n,answer_success_count,answer_success_rate,state_governance_success_count,state_governance_success_rate,co_success_count,co_success_rate
copy_initial_visible_v1,permission_boundary_with_attractive_blocked_path,easy,360,360,1.0,360,1.0,360,1.0
copy_initial_visible_v1,permission_boundary_with_attractive_blocked_path,hard,540,0,0.0,540,1.0,0,0.0
copy_initial_visible_v1,permission_boundary_with_attractive_blocked_path,medium,540,0,0.0,540,1.0,0,0.0
copy_initial_visible_v1,protected_information_redaction_under_task_pressure,easy,360,180,0.5,360,1.0,180,0.5
copy_initial_visible_v1,protected_information_redaction_under_task_pressure,hard,540,0,0.0,540,1.0,0,0.0
copy_initial_visible_v1,protected_information_redaction_under_task_pressure,medium,540,0,0.0,540,1.0,0,0.0
copy_initial_visible_v1,requirement_overwrite_cumulative_active,easy,360,180,0.5,360,1.0,180,0.5
copy_initial_visible_v1,requirement_overwrite_cumulative_active,hard,540,0,0.0,540,1.0,0,0.0
copy_initial_visible_v1,requirement_overwrite_cumulative_active,medium,540,0,0.0,540,1.0,0,0.0
oracle_ceiling_control_v1,api_migration_state_transition,easy,360,360,1.0,360,1.0,360,1.0
oracle_ceiling_control_v1,api_migration_state_transition,hard,540,540,1.0,540,1.0,540,1.0
oracle_ceiling_control_v1,api_migration_state_transition,medium,540,540,1.0,540,1.0,540,1.0
oracle_ceiling_control_v1,decoy_heavy_same_prefix_config,easy,360,360,1.0,360,1.0,360,1.0
oracle_ceiling_control_v1,decoy_heavy_same_prefix_config,hard,540,540,1.0,540,1.0,540,1.0
oracle_ceiling_control_v1,decoy_heavy_same_prefix_config,medium,540,540,1.0,540,1.0,540,1.0
oracle_ceiling_control_v1,permission_boundary_with_attractive_blocked_path,easy,360,360,1.0,360,1.0,360,1.0
oracle_ceiling_control_v1,permission_boundary_with_attractive_blocked_path,hard,540,540,1.0,540,1.0,540,1.0
oracle_ceiling_control_v1,permission_boundary_with_attractive_blocked_path,medium,540,540,1.0,540,1.0,540,1.0
oracle_ceiling_control_v1,protected_information_redaction_under_task_pressure,easy,360,360,1.0,360,1.0,360,1.0
oracle_ceiling_control_v1,protected_information_redaction_under_task_pressure,hard,540,540,1.0,540,1.0,540,1.0
oracle_ceiling_control_v1,protected_information_redaction_under_task_pressure,medium,540,540,1.0,540,1.0,540,1.0
oracle_ceiling_control_v1,requirement_overwrite_cumulative_active,easy,360,360,1.0,360,1.0,360,1.0
oracle_ceiling_control_v1,requirement_overwrite_cumulative_active,hard,540,540,1.0,540,1.0,540,1.0
oracle_ceiling_control_v1,requirement_overwrite_cumulative_active,medium,540,540,1.0,540,1.0,540,1.0
random_visible_v1,api_migration_state_transition,easy,360,6,0.016667,40,0.111111,6,0.016667
random_visible_v1,api_migration_state_transition,hard,540,0,0.0,163,0.301852,0,0.0
random_visible_v1,api_migration_state_transition,medium,540,0,0.0,97,0.17963,0,0.0
random_visible_v1,decoy_heavy_same_prefix_config,easy,360,3,0.008333,27,0.075,3,0.008333
random_visible_v1,decoy_heavy_same_prefix_config,hard,540,0,0.0,120,0.222222,0,0.0
random_visible_v1,decoy_heavy_same_prefix_config,medium,540,0,0.0,107,0.198148,0,0.0
random_visible_v1,permission_boundary_with_attractive_blocked_path,easy,360,16,0.044444,24,0.066667,16,0.044444
random_visible_v1,permission_boundary_with_attractive_blocked_path,hard,540,0,0.0,74,0.137037,0,0.0
random_visible_v1,permission_boundary_with_attractive_blocked_path,medium,540,0,0.0,96,0.177778,0,0.0
random_visible_v1,protected_information_redaction_under_task_pressure,easy,360,8,0.022222,62,0.172222,8,0.022222
random_visible_v1,protected_information_redaction_under_task_pressure,hard,540,0,0.0,164,0.303704,0,0.0
random_visible_v1,protected_information_redaction_under_task_pressure,medium,540,0,0.0,103,0.190741,0,0.0
random_visible_v1,requirement_overwrite_cumulative_active,easy,360,5,0.013889,73,0.202778,5,0.013889
random_visible_v1,requirement_overwrite_cumulative_active,hard,540,0,0.0,96,0.177778,0,0.0
random_visible_v1,requirement_overwrite_cumulative_active,medium,540,0,0.0,74,0.137037,0,0.0
rule_visible_transition_v1,api_migration_state_transition,easy,360,180,0.5,180,0.5,180,0.5
rule_visible_transition_v1,api_migration_state_transition,hard,540,0,0.0,0,0.0,0,0.0
rule_visible_transition_v1,api_migration_state_transition,medium,540,0,0.0,0,0.0,0,0.0
rule_visible_transition_v1,decoy_heavy_same_prefix_config,easy,360,180,0.5,180,0.5,180,0.5
rule_visible_transition_v1,decoy_heavy_same_prefix_config,hard,540,0,0.0,0,0.0,0,0.0
rule_visible_transition_v1,decoy_heavy_same_prefix_config,medium,540,0,0.0,0,0.0,0,0.0
rule_visible_transition_v1,permission_boundary_with_attractive_blocked_path,easy,360,360,1.0,360,1.0,360,1.0
rule_visible_transition_v1,permission_boundary_with_attractive_blocked_path,hard,540,0,0.0,0,0.0,0,0.0
rule_visible_transition_v1,permission_boundary_with_attractive_blocked_path,medium,540,0,0.0,0,0.0,0,0.0
rule_visible_transition_v1,protected_information_redaction_under_task_pressure,easy,360,180,0.5,180,0.5,180,0.5
rule_visible_transition_v1,protected_information_redaction_under_task_pressure,hard,540,0,0.0,0,0.0,0,0.0
rule_visible_transition_v1,protected_information_redaction_under_task_pressure,medium,540,0,0.0,0,0.0,0,0.0
rule_visible_transition_v1,requirement_overwrite_cumulative_active,easy,360,180,0.5,180,0.5,180,0.5
rule_visible_transition_v1,requirement_overwrite_cumulative_active,hard,540,0,0.0,0,0.0,0,0.0
rule_visible_transition_v1,requirement_overwrite_cumulative_active,medium,540,0,0.0,0,0.0,0,0.0
